SOMAMER_ID,UniProt,TargetFullName,Target
ADAM9.3795.6.2,Q13443,Disintegrin and metalloproteinase domain-containing protein 9,ADAM 9
ADAMTS1.3174.2.1,Q9UHI8,A disintegrin and metalloproteinase with thrombospondin motifs 1,ATS1
ADAMTS13.3175.51.5,Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13,ATS13
ADAMTS15.4533.76.2,Q8TE58,A disintegrin and metalloproteinase with thrombospondin motifs 15,ATS15
ADAMTS3.8845.2.3,O15072,A disintegrin and metalloproteinase with thrombospondin motifs 3,ATS3
ADAMTS4.2809.25.2,O75173,A disintegrin and metalloproteinase with thrombospondin motifs 4,ADAMTS-4
ADAMTS5.3168.8.2,Q9UNA0,A disintegrin and metalloproteinase with thrombospondin motifs 5,ADAMTS-5
ADAMTS6.6441.62.3,Q9UKP5,A disintegrin and metalloproteinase with thrombospondin motifs 6,ATS6
ADAMTSL1.6575.79.3,Q8N6G6,ADAMTS-like protein 1,ATL1
ADCK4.9794.17.3,Q96D53,AarF domain-containing protein kinase 4,ADCK4
ADCYAP1.4593.11.1,P18509,Pituitary adenylate cyclase-activating polypeptide 27,PACAP-27
ADCYAP1.4594.22.2,P18509,Pituitary adenylate cyclase-activating polypeptide 38,PACAP-38
ADCYAP1.8285.64.3,P18509,Pituitary adenylate cyclase-activating polypeptide,PACA
ADGRF1.11243.90.3,Q5T601,Adhesion G-protein coupled receptor F1,GPR110
ADGRF5.6409.57.3,Q8IZF2,Adhesion G protein-coupled receptor F5,GP116
ADGRG5.4551.72.3,Q8IZF4,Adhesion G-protein coupled receptor G5,GP114
ADH1B.9834.62.3,P00325,Alcohol dehydrogenase 1B,ADH1B
ADH4.8325.37.3,P08319,Alcohol dehydrogenase 4,ADH4
ADM.14115.34.3,P35318,Adrenomedullin,Adrenomedullin
ADPGK.6221.1.3,Q9BRR6,ADP-dependent glucokinase,ADPGK
ADRBK1.3347.9.2,P25098,beta-adrenergic receptor kinase 1,BARK1
ADSS.12644.63.3,P30520,Adenylosuccinate synthetase isozyme 2,PURA2
ADSSL1.13998.26.3,Q8N142,Adenylosuccinate synthetase isozyme 1,PURA1
AFP.5792.8.2,P02771,alpha-Fetoprotein,AFP
AGER.4125.52.2,Q15109,"Advanced glycosylation end product-specific receptor, soluble",sRAGE
AGFG1.11681.8.3,P52594,Arf-GAP domain and FG repeat-containing protein 1,NUPL
AGGF1.8051.10.3,Q8N302,Angiogenic factor with G patch and FHA domains 1,AGGF1
AGO1.11651.24.3,Q9UL18,Protein argonaute-1,AGO1
AGR2.4959.2.1,O95994,Anterior gradient protein 2 homolog,AGR2
AGRP.2813.11.2,O00253,Agouti-related protein,ART
AHSA1.11633.89.3,O95433,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1
AHSG.3581.53.3,P02765,Alpha-2-HS-glycoprotein,a2-HS-Glycoprotein
AIF1.2849.49.1,P55008,Allograft inflammatory factor 1,AIF1
AIFM1.13424.51.3,O95831,"Apoptosis-inducing factor 1, mitochondrial",AIF
AIFM1.9522.3.3,O95831,"Apoptosis-inducing factor 1, mitochondrial",AIF
AIMP1.2714.78.2,Q12904,Endothelial monocyte-activating polypeptide 2,EMAP-2
AK1.5012.67.1,P00568,Adenylate kinase isoenzyme 1,"Myokinase, human"
AKR1A1.4192.10.2,P14550,Alcohol dehydrogenase [NADP(+)],AK1A1
AKR1B1.9854.36.3,P15121,Aldose reductase,Aldose reductase
AKR1C1.12618.50.3,Q04828,Aldo-keto reductase family 1 member C1,Aldo-keto reductase 1C1
AKT1.AKT2.AKT3.2867.52.2,"P31749,P31751,Q9Y243",RAC-alpha/beta/gamma serine/threonine-protein kinase,PKB a/b/g
AKT1.AKT2.AKT3.3392.68.2,"P31749,P31751,Q9Y243",RAC-alpha/beta/gamma serine/threonine-protein kinase,PKB a/b/g
AKT2.14685.17.3,P31751,RAC-beta serine/threonine-protein kinase,PKB beta
AKT2.5360.9.2,P31751,RAC-beta serine/threonine-protein kinase,PKB beta
ALCAM.5451.1.3,Q13740,CD166 antigen,ALCAM
ALDH3A1.11480.1.3,P30838,"Aldehyde dehydrogenase, dimeric NADP-preferring","Aldehyde dehydrogenase, class 3"
ALDH3B1.12940.35.3,P43353,Aldehyde dehydrogenase family 3 member B1,AL3B1
ALDOA.5864.10.3,P04075,Fructose-bisphosphate aldolase A,aldolase A
ALDOC.9876.20.3,P09972,Fructose-bisphosphate aldolase C,aldolase C
ALKBH5.8793.13.3,Q6P6C2,RNA demethylase ALKBH5,ALKB5
ALOX15B.12422.143.3,O15296,Arachidonate 15-lipoxygenase B,LX15B
ALPI.10463.23.3,P09923,Intestinal-type alkaline phosphatase,"Alkaline phosphatase, intestine"
AMBN.6522.57.3,Q9NP70,Ameloblastin,AMBN
AMELX.8578.45.3,Q99217,"Amelogenin, X isoform",AMELX
AMH.4923.79.1,P03971,Muellerian-inhibiting factor,MIS
AMICA1.5094.62.3,Q86YT9,Junctional adhesion molecule-like,JAML1
AMICA1.8232.90.3,Q86YT9,Junctional adhesion molecule-like,JAML1
AMIGO1.9979.13.3,Q86WK6,Amphoterin-induced protein 1,AMGO1
AMN.4322.28.3,Q9BXJ7,Protein amnionless,AMNLS
AMY1A.7918.114.3,P04745,Alpha-amylase 1,"Amylase, alpha 1A"
ANAPC10.12345.4.3,Q9UM13,Anaphase-promoting complex subunit 10,APC10
ANAPC7.11690.47.3,Q9UJX3,Anaphase-promoting complex subunit 7,APC7
ANGPT1.2811.27.1,Q15389,Angiopoietin-1,Angiopoietin-1
ANGPT2.13660.76.3,O15123,Angiopoietin-2,Angiopoietin-2
ANGPT2.2602.2.2,O15123,Angiopoietin-2,Angiopoietin-2
ANGPT4.2500.2.3,Q9Y264,Angiopoietin-4,Angiopoietin-4
ANGPTL1.11142.11.3,O95841,Angiopoietin-related protein 1,ANGL1
ANGPTL1.9092.33.3,O95841,Angiopoietin-related protein 1,ANGL1
ANGPTL3.3281.19.1,Q9Y5C1,Angiopoietin-related protein 3,ANGL3
ANGPTL4.3796.79.2,Q9BY76,Angiopoietin-related protein 4,ANGL4
ANGPTL7.6371.50.3,O43827,Angiopoietin-related protein 7,ANGL7
ANK2.7624.19.3,Q01484,Ankyrin-2,ANK2
ANKRD27.12445.50.3,Q96NW4,Ankyrin repeat domain-containing protein 27,ANR27
ANKRD46.7851.30.3,Q86W74,Ankyrin repeat domain-containing protein 46,ANR46
ANP32A.13073.14.3,P39687,Acidic leucine-rich nuclear phosphoprotein 32 family member A,AN32A
ANP32B.4194.26.3,Q92688,Acidic leucine-rich nuclear phosphoprotein 32 family member B,AN32B
ANXA1.4960.72.1,P04083,Annexin A1,annexin I
ANXA10.13605.16.3,Q9UJ72,Annexin A10,ANX10
ANXA2.13700.10.3,P07355,Annexin A2,annexin II
ANXA2.4961.17.1,P07355,Annexin A2,annexin II
ANXA9.13588.11.3,O76027,Annexin A9,ANXA9
AOC2.6434.18.3,O75106,Retina-specific copper amine oxidase,Amine oxidase
AP4M1.10076.1.3,O00189,AP-4 complex subunit mu-1,AP4M1
APAF1.13583.19.3,O14727,Apoptotic protease-activating factor 1,Apaf-1
APBB1.12822.34.3,O00213,Amyloid beta A4 precursor protein-binding family B member 1,APBB1
APBB1.14206.28.3,O00213,Amyloid beta A4 precursor protein-binding family B member 1,APBB1
APBB2.12753.6.3,Q92870,Amyloid beta A4 precursor protein-binding family B member 2,APBB2
APBB2.12761.12.3,Q92870,Amyloid beta A4 precursor protein-binding family B member 2,APBB2
APBB3.13589.10.3,O95704,Amyloid beta A4 precursor protein-binding family B member 3,APBB3
APCDD1.6599.5.3,Q8J025,Protein APCDD1,APCD1
APCS.2474.54.5,P02743,Serum amyloid P-component,SAP
APEX1.9849.13.3,P27695,DNA-(apurinic or apyrimidinic site) lyase,APEX1
APLP2.10627.87.3,Q06481,Amyloid-like protein 2,APLP2
APLP2.7915.31.3,Q06481,Amyloid-like protein 2,APLP2
APMAP.10605.22.3,Q9HDC9,Adipocyte plasma membrane-associated protein,APMAP
APOA5.11318.20.3,Q6Q788,Apolipoprotein A-V,Apo A-V
APOA5.12908.15.3,Q6Q788,Apolipoprotein A-V,Apo A-V
APOB.2797.56.2,P04114,Apolipoprotein B,Apo B
APOBEC3G.13930.3.3,Q9HC16,DNA dC->dU-editing enzyme APOBEC-3G,ABC3G
APOD.4712.28.2,P05090,Apolipoprotein D,Apo D
APOD.8262.20.3,P05090,Apolipoprotein D,Apo D
APOE.2937.10.2,P02649,Apolipoprotein E (isoform E3),Apo E3
APOE.5312.49.3,P02649,Apolipoprotein E (isoform E2),Apo E2
APOF.12370.30.3,Q13790,Apolipoprotein F,Apo F
APOL1.11510.31.3,O14791,Apolipoprotein L1,Apo L1
APOL1.9506.10.3,O14791,Apolipoprotein L1,Apo L1
APOM.10445.20.3,O95445,Apolipoprotein M,ApoM
APOM.14125.5.3,O95445,Apolipoprotein M,ApoM
APOO.9373.405.3,Q9BUR5,MICOS complex subunit MIC26,APOO
APP.3171.57.2,P05067,Amyloid beta A4 protein,amyloid precursor protein
APPL1.12825.18.3,Q9UKG1,DCC-interacting protein 13-alpha,DP13A
AREG.2970.60.2,P15514,Amphiregulin,AREG
ARF3.12578.13.3,P61204,ADP-ribosylation factor 3,ARF3
ARF6.12425.104.3,P62330,ADP-ribosylation factor 6,ARF6
ARFGAP2.11664.32.3,Q8N6H7,ADP-ribosylation factor GTPase-activating protein 2,ARFG2
ARFIP1.13488.3.3,P53367,Arfaptin-1,ARFP1
ARFIP2.12630.8.3,P53365,Arfaptin-2,ARFP2
ARHGAP1.11955.1.3,Q07960,Rho GTPase-activating protein 1,RHG01
ARHGAP25.11333.82.3,P42331,Rho GTPase-activating protein 25,RHG25
ARHGAP30.12807.89.3,Q7Z6I6,Rho GTPase-activating protein 30,RHG30
ARHGAP36.6289.78.3,Q6ZRI8,Rho GTPase-activating protein 36,RHG36
ARHGAP5.14748.31.3,Q13017,Rho GTPase-activating protein 5,RHG05
ARHGDIA.6454.38.3,P52565,Rho GDP-dissociation inhibitor 1,Rho-GDIa
ARHGDIB.9846.32.3,P52566,Rho GDP-dissociation inhibitor 2,Rho-GDI beta
ARHGEF1.13976.9.3,Q92888,Rho guanine nucleotide exchange factor 1,ARHG1
ARHGEF10.9061.3.3,O15013,Rho guanine nucleotide exchange factor 10,ARHGA
ARHGEF2.12848.9.3,Q92974,Rho guanine nucleotide exchange factor 2,ARHG2
ARHGEF25.13519.112.3,Q86VW2,Rho guanine nucleotide exchange factor 25,ARHGP
ARHGEF7.13932.45.3,Q14155,Rho guanine nucleotide exchange factor 7,COOL-1
ARID3A.3875.62.1,Q99856,AT-rich interactive domain-containing protein 3A,ARI3A
ARL1.12392.30.3,P40616,ADP-ribosylation factor-like protein 1,ARL1
ARL11.12433.8.3,Q969Q4,ADP-ribosylation factor-like protein 11,ARL11
ARL3.12571.14.3,P36405,ADP-ribosylation factor-like protein 3,ARL3
ARMC5.8785.1.3,Q96C12,Armadillo repeat-containing protein 5,ARMC5
ARMC5.8816.44.3,Q96C12,Armadillo repeat-containing protein 5,ARMC5
ARMC5.9945.8.3,Q96C12,Armadillo repeat-containing protein 5,ARMC5
ARPC3.13573.5.3,O15145,Actin-related protein 2/3 complex subunit 3,p21-ARC
ARPP19.4963.19.1,P56211,cAMP-regulated phosphoprotein 19,ARP19
ARPP21.12860.7.3,Q9UBL0,cAMP-regulated phosphoprotein 21,cAMP-regulated phosphoprotein 21
ARRB1.12643.4.3,P49407,Beta-arrestin-1,ARRB1
ARRDC3.12352.70.3,Q96B67,Arrestin domain-containing protein 3,ARRD3
ARSA.3583.54.4,P15289,Arylsulfatase A,Arylsulfatase A
ARSB.3172.28.2,P15848,Arylsulfatase B,ARSB
ARSK.8269.327.3,Q6UWY0,Arylsulfatase K,ARSK
ART3.10970.3.3,Q13508,Ecto-ADP-ribosyltransferase 3,NAR3
ART3.7970.315.3,Q13508,Ecto-ADP-ribosyltransferase 3,NAR3
ART4.6576.1.3,Q93070,Ecto-ADP-ribosyltransferase 4,ART4
ARTN.2939.10.2,Q5T4W7,Artemin,Artemin
ASAH1.5748.20.3,Q13510,Acid ceramidase,Acid ceramidase
ASAH2.3212.30.3,Q9NR71,Neutral ceramidase,ASAH2
ASAP2.13518.5.3,O43150,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",ASAP2
ASCC1.10647.18.3,Q8N9N2,Activating signal cointegrator 1 complex subunit 1,ASCC1
ASGR1.5452.71.3,P07306,Asialoglycoprotein receptor 1,ASGR1
ASGR2.9474.22.3,P07307,Asialoglycoprotein receptor 2,ASGR2
ASH1L.12622.96.3,Q9NR48,Histone-lysine N-methyltransferase ASH1L,ASH1L
ASH2L.12832.10.3,Q9UBL3,Set1/Ash2 histone methyltransferase complex subunit ASH2,ASH2L
ASIC4.6951.26.3,Q96FT7,Acid-sensing ion channel 4,ASIC4
ASIP.5676.54.3,P42127,Agouti-signaling protein,ASIP
ASL.11241.8.3,P04424,Argininosuccinate lyase,ARLY
ASMTL.10089.7.3,O95671,N-acetylserotonin O-methyltransferase-like protein,ASML
ASNA1.13620.10.3,O43681,ATPase ASNA1,ASNA
ASPH.6998.106.3,Q12797,Aspartyl/asparaginyl beta-hydroxylase,HAAH
ASPN.6451.64.3,Q9BXN1,Asporin,ASPN
ASPRV1.13023.8.3,Q53RT3,Retroviral-like aspartic protease 1,APRV1
ASTL.7993.23.3,Q6HA08,Astacin-like metalloendopeptidase,ASTL
ATAD1.6625.31.3,Q8NBU5,ATPase family AAA domain-containing protein 1,ATAD1
ATAD2.13043.157.3,Q6PL18,ATPase family AAA domain-containing protein 2,ATAD2
ATF6.11277.23.3,P18850,Cyclic AMP-dependent transcription factor ATF-6 alpha,ATF6A
ATG7.12627.97.3,O95352,Ubiquitin-like modifier-activating enzyme ATG7,ATG7
ATP1A1.11993.227.3,P05023,Sodium/potassium-transporting ATPase subunit alpha-1,AT1A1
ATP1B2.7218.87.3,P14415,Sodium/potassium-transporting ATPase subunit beta-2,AT1B2
ATP2A3.13510.7.3,Q93084,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,AT2A3
ATP4B.9994.217.3,P51164,Potassium-transporting ATPase subunit beta,ATP4B
ATP5B.4965.27.1,P06576,"ATP synthase subunit beta, mitochondrial",ATP synthase beta chain
AURKA.3091.70.2,O14965,Aurora kinase A,Aurora kinase A
AURKB.3346.72.2,Q96GD4,Aurora kinase B,AURKB
AXIN2.12925.105.3,Q9Y2T1,Axin-2,AXIN2
AXIN2.8429.16.3,Q9Y2T1,Axin-2,AXIN2
AZGP1.9312.8.3,P25311,Zinc-alpha-2-glycoprotein,AZGP1
B3GALT6.7981.230.3,Q96L58,"Beta-1,3-galactosyltransferase 6",B3GT6
B3GALTL.5727.35.3,Q6Y288,"Beta-1,3-glucosyltransferase",B3GLT
B3GAT3.6897.38.3,O94766,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,B3GA3
B3GNT1.8259.25.3,O43505,"Beta-1,4-glucuronyltransferase 1",B3GN1
B3GNT2.7980.72.3,Q9NY97,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2",B3GN2
B3GNT6.7082.2.3,Q6ZMB0,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",B3GN6
B3GNT8.9297.12.3,Q7Z7M8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",B3GN8
B4GALT1.13381.49.3,P15291,"Beta-1,4-galactosyltransferase 1",B4GT1
B4GALT2.9595.11.3,O60909,"Beta-1,4-galactosyltransferase 2",B4GT2
B4GALT3.6921.24.3,O60512,"Beta-1,4-galactosyltransferase 3",B4GT3
B4GALT5.10425.3.3,O43286,"Beta-1,4-galactosyltransferase 5",B4GT5
B4GALT6.10832.24.3,Q9UBX8,"Beta-1,4-galactosyltransferase 6",B4GT6
B4GALT7.7806.33.3,Q9UBV7,"Beta-1,4-galactosyltransferase 7",B4GT7
BACH1.12451.62.3,O14867,Transcription regulator protein BACH1,BACH1
BACH2.12756.3.3,Q9BYV9,Transcription regulator protein BACH2,BACH2
BAD.5870.23.2,Q92934,Bcl2-associated agonist of cell death,BAD
BAG3.10078.5.3,O95817,BAG family molecular chaperone regulator 3,BAG3
BAG4.12844.10.3,O95429,BAG family molecular chaperone regulator 4,BAG4
BAGE2.6294.11.3,Q86Y30,B melanoma antigen 2,BAGE2
BAGE3.6442.6.3,Q86Y29,B melanoma antigen 3,BAGE3
BARD1.13977.28.3,Q99728,BRCA1-associated RING domain protein 1,BARD1
BATF3.8858.21.3,Q9NR55,Basic leucine zipper transcriptional factor ATF-like 3,BATF3
BCAM.2816.50.2,P50895,Basal Cell Adhesion Molecule,BCAM
BCAN.3461.58.1,Q96GW7,Brevican core protein,PGCB
BCAP29.11570.94.3,Q9UHQ4,B-cell receptor-associated protein 29,BAP29
BCAR3.12634.79.3,O75815,Breast cancer anti-estrogen resistance protein 3,BCAR3
BCL10.8768.4.3,O95999,B-cell lymphoma/leukemia 10,Bcl-10
BCL2.3412.7.1,P10415,Apoptosis regulator Bcl-2,Bcl-2
BCL2A1.3413.50.2,Q16548,Bcl-2-related protein A1,BFL1
BCL2L1.4423.77.2,Q07817,Bcl-2-like protein 1,BCL2-like 1 protein
BCL2L2.13097.11.3,Q92843,Bcl-2-like protein 2,Apoptosis regulator Bcl-W
BCL2L2.7134.14.3,Q92843,Bcl-2-like protein 2,Apoptosis regulator Bcl-W
BCL6.13640.5.3,P41182,B-cell lymphoma 6 protein,BCL6
BDNF.2421.7.3,P23560,Brain-derived neurotrophic factor,BDNF
BDP1.8929.7.3,A6H8Y1,Transcription factor TFIIIB component B'' homolog,BDP1
BECN1.13032.1.3,Q14457,Beclin-1,BECN1
BET1L.10959.125.3,Q9NYM9,BET1-like protein,BET1L
BGLAP.11067.13.3,P02818,Osteocalcin,Osteocalcin
BGN.13690.26.3,P21810,Biglycan,BGN
BGN.3284.75.1,P21810,Biglycan,BGN
BID.5798.3.3,P55957,BH3-interacting domain death agonist,BID
BIN1.9574.11.3,O00499,Myc box-dependent-interacting protein 1,BIN1
BIRC3.4973.18.1,Q13489,Baculoviral IAP repeat-containing protein 3,cIAP-2
BIRC5.3472.40.2,O15392,Baculoviral IAP repeat-containing protein 5,Survivin
BLVRA.11382.5.3,P53004,Biliverdin reductase A,BIEA
BMP10.3587.53.2,O95393,Bone morphogenetic protein 10,BMP10
BMP6.3736.60.3,P22004,Bone morphogenetic protein 6,BMP-6
BMP6.8459.10.3,P22004,Bone morphogenetic protein 6,BMP-6
BMP7.2972.57.2,P18075,Bone morphogenetic protein 7,BMP-7
BMPER.3654.27.5,Q8N8U9,BMP-binding endothelial regulator protein,BMPER
BMPR1A.4859.6.1,P36894,Bone morphogenetic protein receptor type-1A,BMPR1A
BMX.3414.40.2,P51813,Cytoplasmic tyrosine-protein kinase BMX,BMX
BNIP3.7045.4.3,Q12983,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,BNIP3
BNIP3L.7835.2.3,O60238,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,BNI3L
BOC.4328.2.2,Q9BWV1,Brother of CDO,BOC
BOLA2.8404.102.3,Q9H3K6,BolA-like protein 2,BolA-like protein 2
BPGM.12020.39.3,P07738,Bisphosphoglycerate mutase,PMGE
BPI.4126.22.1,P17213,Bactericidal permeability-increasing protein,BPI
BPIFA1.6473.55.3,Q9NP55,BPI fold-containing family A member 1,PLUNC
BPIFB1.11246.3.3,Q8TDL5,BPI fold-containing family B member 1,LPLC1
BRD1.11607.15.3,O95696,Bromodomain-containing protein 1,BRD1
BRDT.12748.6.3,Q58F21,Bromodomain testis-specific protein,BRDT
BRF1.5384.67.3,Q92994,Transcription factor IIIB 90 kDa subunit,BRF-1
BRICD5.6612.90.3,Q6PL45,BRICHOS domain-containing protein 5,CP079
BRPF1.11671.19.3,P55201,Peregrin,BRPF1
BRSK2.9790.28.3,Q8IWQ3,Serine/threonine-protein kinase BRSK2,BR serine/threonine kinase 2
BSG.3585.54.6,P35613,Basigin,BASI
BST1.4535.50.2,Q10588,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,BST1
BTK.3416.2.2,Q06187,Tyrosine-protein kinase BTK,BTK
BTNL9.7950.142.3,Q6UXG8,Butyrophilin-like protein 9,BTNL9
BUB1.12033.3.3,O43683,Mitotic checkpoint serine/threonine-protein kinase BUB1,BUB1
C10orf35.8220.15.3,Q96D05,Uncharacterized protein C10orf35,CJ035
C10orf54.14123.34.3,Q9H7M9,Platelet receptor Gi24,GI24
C11orf68.8307.47.3,Q9H3H3,UPF0696 protein C11orf68,CK068
C12orf49.9387.13.3,Q9H741,UPF0454 protein C12orf49,CL049
C14orf93.6439.59.3,Q9H972,Uncharacterized protein C14orf93,CN093
C16orf54.12394.53.3,Q6UWD8,Transmembrane protein C16orf54,CP054
C17orf67.9070.1.3,Q0P5P2,Uncharacterized protein C17orf67,CQ067
C17orf78.6571.75.3,Q8N4C9,Uncharacterized protein C17orf78,CQ078
C17orf78.8545.14.3,Q8N4C9,Uncharacterized protein C17orf78,CQ078
C17orf89.9030.56.3,A1L188,Uncharacterized protein C17orf89,CQ089
C18orf32.8236.8.3,Q8TCD1,UPF0729 protein C18orf32,CR032
C19orf18.9445.44.3,Q8NEA5,Uncharacterized protein C19orf18,CS018
C19orf80.7183.102.3,Q6UXH0,Angiopoietin-like protein 8,TD26
C1D.7821.6.3,Q13901,Nuclear nucleic acid-binding protein C1D,C1D
C1GALT1C1.5735.54.3,Q96EU7,C1GALT1-specific chaperone 1,C1GLC
C1orf115.8366.19.3,Q9H7X2,Uncharacterized protein C1orf115,CA115
C1orf185.10667.78.3,Q5T7R7,Uncharacterized protein C1orf185,CA185
C1orf198.8035.6.3,Q9H425,Uncharacterized protein C1orf198,CA198
C1orf210.8088.56.3,Q8IVY1,Type III endosome membrane protein TEMP,CA210
C1orf226.7989.5.3,A1L170,Uncharacterized protein C1orf226,CA226
C1QBP.4967.1.1,Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1QBP
C1QC.14100.63.3,P02747,Complement C1q subcomponent subunit C,C1QC
C1QL4.7132.55.3,Q86Z23,Complement C1q-like protein 4,C1QL4
C1QTNF1.6304.8.3,Q9BXJ1,Complement C1q tumor necrosis factor-related protein 1,C1QT1
C1QTNF3.7251.64.3,Q9BXJ4,Complement C1q tumor necrosis factor-related protein 3,C1QT3
C1QTNF5.7810.20.3,Q9BXJ0,Complement C1q tumor necrosis factor-related protein 5,C1QTNF5
C1QTNF9.6019.12.3,P0C862,Complement C1q and tumor necrosis factor-related protein 9A,C1T9A
C1RL.9348.1.3,Q9NZP8,Complement C1r subcomponent-like protein,C1RL1
C21orf33.5981.6.3,P30042,"ES1 protein homolog, mitochondrial",ES1
C22orf15.7073.69.4,Q8WYQ4,Uncharacterized protein C22orf15,CV015
C2orf40.6362.6.3,Q9H1Z8,Augurin,AUGN
C2orf66.5677.15.3,Q6UXQ4,Uncharacterized protein C2orf66,CB066
C2orf82.9439.454.3,Q6UX34,Uncharacterized protein C2orf82,CB082
C3.2755.8.2,P01024,C3a anaphylatoxin des Arginine,C3adesArg
C3orf18.6994.19.3,Q9UK00,Uncharacterized protein C3orf18,CC018
C4A.C4B.4481.34.2,"P0C0L4,P0C0L5",Complement C4,C4
C5orf38.6378.2.3,Q86SI9,Protein CEI,CEI
C5orf63.13378.80.3,A6NC05,Glutaredoxin-like protein C5orf63,YD286
C6.4127.75.1,P13671,Complement component C6,C6
C6orf226.8078.15.3,Q5I0X4,Uncharacterized protein C6orf226,CF226
C6orf89.10885.36.3,Q6UWU4,Bombesin receptor-activated protein C6orf89,CF089
C7orf69.9544.24.3,Q9H7B7,Uncharacterized protein C7orf69,CG069
C8A.C8B.C8G.2429.27.4,"P07357,P07358,P07360",Complement component C8,C8
C8orf33.9613.16.3,Q9H7E9,UPF0488 protein C8orf33,CH033
C9.3060.43.2,P02748,Complement component C9,C9
C9orf89.7778.104.3,Q96LW7,Bcl10-interacting CARD protein,BINCA
CA1.4969.2.1,P00915,Carbonic anhydrase 1,Carbonic anhydrase I
CA10.13666.222.3,Q9NS85,Carbonic anhydrase-related protein 10,Carbonic Anhydrase X
CA10.3289.19.2,Q9NS85,Carbonic anhydrase-related protein 10,Carbonic Anhydrase X
CA2.4970.55.1,P00918,Carbonic anhydrase 2,carbonic anhydrase II
CA3.3799.11.2,P07451,Carbonic anhydrase 3,Carbonic anhydrase III
CA4.3177.49.2,P22748,Carbonic anhydrase 4,Carbonic Anhydrase IV
CA5A.8791.151.3,P35218,"Carbonic anhydrase 5A, mitochondrial",Carbonic Anhydrase VA
CA6.3352.80.3,P23280,Carbonic anhydrase 6,Carbonic anhydrase 6
CA9.3798.71.1,Q16790,Carbonic anhydrase 9,Carbonic anhydrase 9
CACNA2D3.8885.6.3,Q8IZS8,Voltage-dependent calcium channel subunit alpha-2/delta-3,CA2D3
CACYBP.12432.23.3,Q9HB71,Calcyclin-binding protein,CYBP
CADM1.3326.58.2,Q9BY67,Cell adhesion molecule 1,Nectin-like protein 2
